,company_id,commercial_name,answer,business_tags,short_description,description,main_business_category,naics_code,naics_label
0,84,Advisory Care,621 Ambulatory Health Care Services,Hygiene Services | One-on-one Attention and Care | Meal Preparation Services | Daily Living Assistance | Physical Disability Support | Home Health Aide Services | Supervision Services,"Advisory Care is a home health care services provider based in Violet Town, Australia.","Advisory Care Pty Ltd is a company that provides support for people with disabilities. They specialize in care and daily living assistance to individuals who require assistance due to aging, illness, recovery, or rehabilitation. Their experienced and supportive caregivers offer personalized care plans that include meal preparation, hygiene, cleaning, supervision, and other daily services. Companionship is a key aspect of their care, as they strive to develop a caring relationship with their clients and provide one-on-one attention and care. They also offer physical disability support for individuals with arthritis, physical disabilities, and age-related conditions.",Home Health Care,621,Ambulatory Health Care Services
1,115,PPK Mining Equipment,213 Support Activities for Mining,High & Low Seam Drills | Ventilation Solutions | Stone Dusting Machines | Mining Equipment Maintenance | Lubrication Solutions | AFC Mounted Longwall Face Drill | Water Separators | Mining Consumables | Rib Drills Manufacturer | General-purpose Motors | Tool and Consumable Manufacturing | ISO 9001 Quality Management System | Equipment Support Units | Radial Drill Rig | Drilling and Boring Tools | Capital Equipment | Equipment Manufacturer | Equipment Maintenance | Underground Products | Reduction Motors | Design Services | Spares & Parts | Pumps and Mixers Manufacturer | Diesel Division | H-bar Drills Supplier | Static Grout Pumps | Support Center Services | Grouting Solutions,"PPK Mining Equipment is the solution partner of choice for quality, market-leading products that service and support the mining industry.","PPK Mining Equipment is a company that specializes in providing quality and market-leading products for the mining industry. As part of the PPK Group Ltd, they are an original equipment manufacturer (OEM) and offer maintenance, repair, and overhaul services for plant and equipment, tooling, and consumables. With a manufacturing and service center in Tomago, NSW, and a service and support center in Port Kembla, Wollongong, as well as a smaller service center at Mt Thorley in the Hunter Valley coal fields, they have a team of around 150 highly trained experts. All design and service work is independently certified to ISO Quality Management System.",Mining & Gas Exploration,213,Support Activities for Mining
2,50,First Tracks Lawn Care,561 Administrative and Support Services,Weekly Mowing | Driveway Plowing Services | Mulching Beds | Lawn Overseeding | Dressing Services | Property Maintenance Plans | Dethatching Services | Small Landscaping Projects | Tree Limbing | Irrigation Startup/blowout and Maintenance | Spring and Fall Clean-up Services | Snow Services | Sanding and Salting | Brush Removal | Landscaping Services | Aeration Services,"First Tracks Lawn Care, LLC prides itself on perfection and follow through to the customer. Irrigation main is shutdown and drained.","First Tracks Lawn Care, LLC is a lawn care company that offers a range of services including spring/fall clean up, dethatching, aeration, weekly mowing, overseeding, top dressing, and small landscaping projects. They offer snow management services such as driveway plowing, deck snowblowing, and shoveling, as well as salting and sanding. The owner, Matt, is a professional Jackson Hole Ski Patroller in the winter and takes pride in being prepared for any task.",Landscaping & Lawn Services,561,Administrative and Support Services
3,92,New Golden Furnishers,337 Furniture and Related Product Manufacturing,Staff Task Computer Chairs Supplier | Mesh Back Chairs Manufacturer | School Furniture | Auditorium Chairs with Writing Tablet Seats | Imported Standard School Desk Furniture Supplier/retailer | Two-seater Desks | Revolving Chairs | Modular Workstations | Writing Arm Chairs | College Furniture Manufacturer | Metal Chairs | Furniture Manufacturing | Double Desks Supplier | School Benches,"New Golden Furnishers Co - Manufacturer of Double Cushion Doblepiel Executive High Back Brown Chair, Stainless Steel School College Furniture Observer - Double Senior, Single Seater Classroom Desk, Butterfy Model Kids Chair with Metal Frame and PP Shell and Office & Commercial Furniture in Sadar Bazaar, New Delhi, Delhi","New Golden Furnishers Co is a furniture manufacturer based in New Delhi, India. They specialize in producing office chairs, double desks, school and college furniture, single seat desks, kids school furniture, workstations, cafe furniture, and other related items. Their products include writing arm chairs, auditorium furniture, study and computer tables, office tables, school furniture such as library furniture, visitor fix chairs, and high back office chairs. They also offer metal office furniture, stainless steel chairs, sofas, blood donor chairs, restaurant tables, and chairs, as well as institutional furniture. The company is known for its elegant designs and comfortable seating positions, and their products are widely used in schools and colleges worldwide.",Office Furniture,337,Furniture and Related Product Manufacturing
4,88,Lilac City Septic,562 Waste Management and Remediation Services,Clean-Out Installation | Line Replacement Services | Septic System Maintenance | Tank Certifications | Grease Trap Cleaning | Septic Excavation | Drain Field Repair | Baffle Replacement | Filter Cleaning Services | Riser Installation Services,Lilac City Septic services residential & commercial septic systems tanks repair pumping installation in Spokane Washington & surrounding areas,"Lilac City Septic Services Co is a family-owned and operated business that has been providing septic services to Spokane and the surrounding areas for 30 years. They offer a range of septic maintenance and repair services, including regular maintenance, baffle replacement and cleaning, septic tank pumping, filter cleaning, drain field repair, grease trap cleaning, line replacement, riser installation, and all septic excavation projects. The company emphasizes the importance of regular inspection and maintenance of septic systems to ensure they function properly and save money in repairs. Lilac City Sepic Services is experienced in inspecting, pumping, cleaning, maintaining, repairing, and certifying septic holding tanks to ensure their integrity. They advise against using additives like Rid-X to maintain a healthy bacterial ecology in septic tanks and recommend regular maintenance to avoid costly repairs.",Garbage Collection & Waste Disposal,562,Waste Management and Remediation Services
5,10,TTT Industries,238 Specialty Trade Contractors,Home Equity Consulting Services | Ceramic and Graphene Automotive Coating Services | Residential and Commercial Painting | Fully Licensed and Insured,TTT Industries offers professional residential & business painting services as well as Ceramic & Graphene automotive coating with a focus on proper application methods and customer satisfaction.,"TTT Industries is a professional painting and coating company based in Hawaii that offers residential and business painting services, as well as ceramic and graphene automotive coating. With over two decades of experience, the company prides itself on attention to detail and quality craftsmanship, using high-quality products and proper application methods to ensure customer satisfaction. TTT Industries also offers home equity consulting services to help clients bring in extra money with the sale of their property. The company's team is known for being honest, reliable, professional, and knowledgeable about painting and coatings applications.","Painting, Plastering & Wall Covering",238,Specialty Trade Contractors
6,20,Rocks on the River,722 Food Services and Drinking Places,Shrimp and Grits | Food and Beverage Services | Fried Green Tomatoes with Pimento Cheese | Private Dining Room | Cornbread | Charming Scenery | Regional Dishes | Fresh and Seasonal Ingredients | Artistic Dining Experience | Brunch Services | Southern Cuisine,"Allow the unmistakable aroma of classic comfort foods to lure you off the vibrant River Street and into Rocks on the River, a local favorite in Savannah.","Rocks on the River is a restaurant located in Savannah, Georgia that offers Southern-inspired dishes made with fresh, seasonal ingredients. The restaurant is situated at The Bohemian Hotel Savannah Riverfront and offers scenic views of the cobblestoned riverside district. The menu features classic comfort foods with a New American twist, including dishes such as fried green tomatoes with pimento cheese, country cornbread, and shrimp and grits. The establishment also offers private dining spaces for special occasions.",Restaurants,722,Food Services and Drinking Places
7,66,Cake Me Away,445 Food and Beverage Retailers,Bakery Services | Food and Beverage | Pickup Services | Custom Decorated Sugar Cookies | Decorated Cakes and Cupcakes,"Cake Me Away - Fresno Bakery Cake Me Away serving the Fresno/Clovis area with made from scratch (and hand decorated) cakes, cupcakes, sugar cookies and more for all occasions.","Cake Me Away is a bakery located in Fresno, California that specializes in handmade cakes, cupcakes, sugar cookies, and other baked goods. They offer a variety of treats for all occasions, including birthdays and holidays such as Independence Day and Independence Day. Customers have praised the bakery for their delicious and visually appealing products. Cake Me Away also offers custom cookie designs for special events.",Bakeries & Desserts,445,Food and Beverage Retailers
8,122,Saadzoi Law,"541 Professional, Scientific, and Technical Services",Legal Representation | Immigration Services | Criminal Defense Services | DUI Defense Services | Legal Representation for Immigration Cases | PFA Defense Services | Defense against Robbery and Burglary | Defense Strategies | Pennsylvania Criminal Defense Services | Criminal Record Expungement | Legal Services | Bench Warrants Defense | Defense Services for Underage Drinking | Free Criminal Case Evaluation | Visa and Citizenship Assistance | Defense Services | Veterans Court Defense | Law Firm | DUI Defense Representation | Criminal Defense Attorneys | Criminal Defense Representation | Pennsylvania ARD Program Defense | Theft Defense | Defense Representation | Record Sealing Defense | Restraining Order Lifting Services | DUI and Immigration Law Services | Terrorist Threats and Harassment | Defense during PFA Violations,Saadzoi Law can help you navigate the legal system to reach a positive outcome for you or your family.,"Wana Saadzoi Law is a law firm based in Southeastern Pennsylvania that specializes in criminal defense law and immigration law. The firm is led by Attorney Wana Saardzoi, a former prosecutor and experienced criminal lawyer who focuses on DUI law, sex crimes, and theft. She is known for her aggressive representation of clients and her commitment to keeping her clients' records clean while fighting for their charges to be reduced or dropped altogether. In addition to criminal defense, the firm also offers immigration law services to help immigrants understand their rights and exercise them under U.S. law. Wana's unique background and experiences make her qualified and experienced to represent clients and build a strong case for them to achieve positive results.",Criminal Justice Attorneys,541,"Professional, Scientific, and Technical Services"
9,129,Harlequin Designs,313 Textile Mills,Personalization Services | Embroidered Workwear | Safety Wear | Branded Clothing | Hooded Sweatshirts | Digitized and Stitched Designs | High-tech Machinery | Personalization of Uniforms with Company Logos | Hand Finishing | Digitizing Equipment | Polo Shirts,"Harlequin Designs produced embroidered workwear, including polos, t-shirts, fleeces, hoodies, hats, trousers, safety wear. Call 01827 66588 for a free quote.","Harlequin Designs is a family-owned business based in Staffordshire that specializes in producing high-quality personalized clothing, including embroidered workwear and uniforms. They offer a wide range of products, including polos, t-shirts, fleeces, hoodies, hats, trousers, and safety wear, all of which are produced to high standards to ensure durability. The company uses the latest high-tech machinery and digitizing equipment to digitize designs for stitching onto virtually any garment, ensuring a long-lasting permanence that will not fade. In addition to embroidery, Harlequin designs also offers badges for attachment and prints onto garments. They cater to all activities in sportswear, leisure wear, and workwear, from bridal gowns to boiler suits.",Work Clothing & Protection Equipment,313,Textile Mills
10,42,OIC DEVAGIRI,"541 Professional, Scientific, and Technical Services","Strategic Education | Academic and Cultural Exchange | Academic Exchange Programs | Capacity Building Program | Global Trade and Security Strategy | Professional Certifications | Intelligence as A Service | Modular Learning Environment | Capacity-building Workshops, Seminars, and Courses","The Intelligence Research Institute (IRI) is continuously monitoring events, aggregating information, conducting analysis, and formalizing content into briefings to fulfill its vision of providing intelligence as a service.","The Office of International Collaboration (OIC) Devagiri, also known as OIC Devagiris, is an organization that aims to enhance global partnerships through academic and cultural exchange. Their mission is to advance the discovery of new knowledge, innovative technology development, strategic education, and professional training to strengthen communities through a positive and productive approach. OIC devagiri has established agreements with prestigious universities and institutes from around the world, including the Intelligence Research Institute (IRI) San Diego (Usa), Virginia Commonwealth University (Vcu), UniversitiTeknologi Mara, Selangor Malaysia, ACCA (Association of Chartered Certified Accountants), CMA (Certified Management Accountant) US & IMA (Institute of Management Accountants). OIC's mission is for students, faculty, and professionals to tackle emerging challenges and future requirements with proactive approaches.",Research Institutes,541,"Professional, Scientific, and Technical Services"
11,154,Reliable IT School,611 Educational Services,IT Training Institute | Placement Assistance | Aptitude Tests | Resume Preparation | Educational | Cyber Security | Measurable Return on Education | Continuous and Blended Learning | Software Testing Training | Cloud Computing Solutions | Microsoft Excel Training | Data Science | Ruby on Rails Training | Data Analytics Training | Corporate Education Value Chain | Digital Marketing | Interview Calls | SAP HANA Training | Python Full Stack Training | Spoken English | Hands-on Training | Mock Interviews | Java Frameworks Training | HR Practical Classes | SAP HANA | Software Testing | Full Stack Java Development | Salesforce Training | Microsoft Azure | Salesforce | Flexible Class Timings | Learning Strategies | .NET Development,Reliable Training Institute provides several types of courses including basic and advanced IT courses.,"Reliable Training Institute is a company that specializes in providing continuous blended learning and corporate education solutions. They offer a range of services including placement assistance, hands-on training, affordable fees, and flexible class timings. With over 16 years of experience, Reliable IT School has been recognized for its academic excellence and has received awards for its SAP Institute at the 6th Asia-Africa Award of Excellence. They have expertise in various technologies such as SAP, software testing, Java and Python full stack, cloud computing, cyber security, and more. Reliable Training offers industry-focused programs to help individuals upskill and secure their dream jobs.",Computer Training Schools,611,Educational Services
